user_tenure_days,avg_basket_value,purchase_frequency,category_affinity_score,loyalty_tier,review_sentiment_polarity,is_high_propensity
420.424,71.77,3.534,0.573,2,0.603,0
343.396,93.101,5.561,0.465,3,0.65,1
222.586,107.627,3.173,0.704,2,0.459,0
343.367,77.452,4.575,0.687,5,0.048,1
484.564,54.446,3.871,0.728,4,0.221,1
295.701,115.849,4.759,0.445,1,0.212,1
487.757,110.24,0.5,0.33,4,0.559,1
10.0,52.93,0.841,0.775,5,0.271,1
398.628,132.44,5.732,0.947,3,0.321,0
310.446,125.957,6.574,0.445,2,0.219,1
264.119,89.7,2.679,0.968,2,-0.068,0
311.011,87.786,4.012,0.707,5,1.0,0
61.492,104.392,5.089,0.649,1,0.521,0
273.639,54.84,5.886,0.57,4,0.842,0
342.854,86.051,0.5,0.373,3,0.065,0
477.347,15.0,2.728,0.848,1,0.856,0
237.808,115.676,3.835,0.495,5,0.281,1
202.981,30.348,5.906,0.494,5,0.559,1
239.789,137.62,9.497,0.848,2,0.698,0
409.848,73.446,4.044,0.273,3,0.853,0
339.45,77.592,1.686,0.345,1,0.386,0
236.429,63.029,5.305,0.646,2,0.099,1
361.592,74.919,7.142,0.709,3,0.396,1
311.649,134.649,4.716,0.747,4,0.577,0
416.237,15.0,2.687,0.59,4,0.239,1
215.754,129.694,6.416,0.99,2,0.273,0
260.681,96.831,5.827,0.604,1,-0.064,1
252.947,42.754,2.448,0.604,3,0.107,1
124.378,47.364,5.263,0.491,4,0.533,1
335.534,143.674,6.495,0.675,4,0.665,1
331.327,51.907,6.864,0.773,1,0.731,0
300.614,44.633,4.367,0.891,2,1.0,0
271.85,124.806,3.784,0.352,5,0.846,0
130.156,96.849,6.955,0.601,3,0.354,1
249.523,52.173,2.08,0.739,4,0.119,1
258.874,92.582,5.377,0.767,5,0.323,1
203.727,49.099,1.76,0.651,1,0.235,0
280.646,123.529,6.631,0.758,2,0.45,0
348.486,122.148,3.984,0.488,3,0.667,0
526.342,103.62,7.037,0.962,1,0.544,0
320.949,97.658,5.483,0.849,2,0.873,0
330.906,146.642,2.054,0.381,1,0.519,0
291.066,84.989,7.349,0.435,4,0.017,1
69.747,43.634,7.602,0.441,4,0.229,1
296.818,100.732,6.265,0.786,5,0.521,1
307.228,158.012,2.977,0.393,1,0.469,0
595.589,49.483,3.888,0.584,4,0.792,0
276.917,72.349,4.791,0.741,2,0.402,0
336.186,99.576,3.093,0.637,5,0.347,1
295.835,83.113,7.885,0.702,3,-0.072,1
159.759,50.619,4.789,0.437,1,0.158,0
437.139,124.265,0.5,0.769,4,0.493,0
390.232,166.201,5.179,0.527,2,0.463,0
394.924,91.865,3.804,0.585,1,0.578,0
190.874,53.358,4.35,0.698,2,0.535,0
468.335,30.786,3.763,0.671,5,0.366,1
131.778,94.029,6.114,0.655,4,0.099,1
370.423,123.636,6.739,0.5,4,0.4,1
562.855,101.631,5.066,0.59,5,0.387,1
181.136,84.916,3.821,0.65,2,0.812,0
232.044,64.375,4.417,0.375,1,0.798,0
311.958,46.774,4.539,0.557,2,0.256,0
239.583,114.216,2.895,0.728,1,0.213,0
113.92,116.982,5.658,0.395,5,-0.006,1
308.228,30.899,5.42,0.881,3,0.351,1
172.524,140.644,7.581,0.904,1,0.258,0
356.831,105.092,7.011,0.401,4,1.0,1
189.669,133.986,3.129,0.922,4,0.065,1
485.992,38.026,6.141,0.621,4,0.418,1
206.01,37.196,2.598,0.734,2,0.207,0
261.353,79.786,5.892,0.551,2,0.407,1
397.622,102.597,3.467,0.835,2,0.3,0
152.296,147.873,2.453,0.731,4,0.643,0
327.295,109.713,5.06,0.487,1,0.532,0
456.857,76.506,0.5,0.417,4,0.633,1
107.102,49.077,0.998,0.358,1,0.174,0
322.156,128.05,4.145,0.688,2,0.724,0
331.186,51.235,4.665,0.764,3,0.255,1
393.819,141.996,3.761,0.78,2,-0.022,0
151.566,75.047,1.341,0.626,5,0.345,0
141.545,140.67,2.864,0.419,1,0.434,0
362.633,108.763,5.282,0.514,3,0.025,1
335.638,80.205,5.664,0.88,2,0.662,0
330.059,66.821,4.468,0.553,3,0.157,1
341.574,73.068,6.814,0.679,4,0.144,1
218.397,99.991,5.295,0.435,1,0.4,0
327.87,87.7,3.005,0.717,5,0.657,0
335.169,64.217,3.939,0.558,4,0.035,1
214.278,79.203,1.694,0.859,3,0.682,0
523.893,87.75,4.284,0.805,2,-0.248,1
356.86,15.0,6.724,0.551,1,0.499,0
157.044,101.036,5.871,0.625,5,0.061,1
378.786,50.71,7.304,0.54,2,0.16,1
183.038,44.633,3.894,0.366,5,0.921,1
394.45,25.943,7.192,0.479,1,0.104,1
439.031,22.214,4.113,0.69,3,0.383,0
201.518,37.559,7.443,0.715,5,0.08,1
415.605,60.184,4.456,0.68,1,0.631,0
349.534,153.364,5.914,0.59,5,0.523,1
398.647,66.594,7.45,0.837,2,0.565,0
527.615,91.221,4.113,0.663,5,0.739,1
270.553,99.017,4.937,0.791,2,0.299,0
209.552,89.587,7.078,0.295,2,0.722,1
193.258,82.289,4.234,0.05,1,0.847,0
202.103,43.165,1.858,0.707,4,0.485,1
290.748,135.782,8.786,0.365,5,0.068,1
340.938,148.252,3.56,0.608,3,0.039,1
333.203,26.107,4.818,0.59,2,0.533,1
399.262,49.159,6.812,0.967,4,0.068,1
301.56,75.207,3.283,0.73,2,-0.003,0
474.424,51.241,2.484,0.683,4,0.665,1
268.241,102.709,5.007,0.817,4,0.262,0
626.42,59.51,0.914,0.724,3,1.0,0
375.08,160.777,3.924,0.558,4,0.203,1
197.141,126.669,4.99,0.864,3,0.251,0
171.493,92.44,3.96,0.428,1,0.508,0
357.897,120.945,1.413,0.715,2,0.461,0
273.184,123.707,7.688,0.34,3,0.375,1
385.68,65.262,4.707,0.691,2,0.368,1
356.789,56.432,7.362,0.689,5,1.0,1
291.261,87.735,3.98,0.985,1,0.898,0
198.385,115.157,2.74,0.337,5,0.653,1
118.218,89.867,5.038,0.53,5,0.032,1
246.418,29.805,4.068,0.815,4,0.378,1
402.768,56.901,2.144,0.717,4,0.598,0
325.691,82.411,7.44,0.686,5,0.624,1
150.511,82.352,3.255,0.459,4,0.783,1
320.782,154.039,0.819,0.532,2,0.208,0
346.238,36.49,7.156,0.899,4,0.388,1
193.937,102.696,3.491,0.64,5,0.173,1
318.447,137.119,3.284,0.725,4,0.8,0
306.985,164.501,0.969,0.627,4,0.61,0
162.844,70.846,7.982,0.413,3,0.248,1
342.934,102.2,1.921,0.837,3,0.467,0
367.294,104.942,4.617,0.751,5,0.415,1
429.966,91.842,6.325,0.99,2,0.136,1
426.456,81.54,5.343,0.447,1,0.679,0
134.68,100.259,4.381,0.815,1,0.423,0
187.461,15.0,1.097,0.388,5,0.241,1
361.804,108.872,2.881,0.681,2,0.131,1
361.654,89.416,4.876,0.845,2,0.656,0
361.806,77.213,2.926,0.236,2,0.48,1
762.328,156.64,4.907,0.609,3,0.192,1
368.507,61.377,5.863,0.537,5,0.251,1
436.268,70.892,6.425,0.51,1,0.402,1
414.48,154.704,2.048,0.727,2,0.419,0
378.167,55.878,8.893,0.874,5,0.458,0
262.168,65.746,6.035,0.623,1,-0.131,1
391.076,79.854,4.497,0.691,3,0.436,0
207.261,114.426,6.679,0.673,4,0.034,1
271.582,92.273,9.231,0.65,1,0.826,0
241.756,39.758,1.623,0.432,1,0.713,0
309.825,66.374,4.049,0.872,1,0.747,0
577.759,63.743,0.5,0.709,4,-0.338,1
75.928,82.297,4.885,0.729,2,0.31,0
382.351,99.905,5.231,0.489,4,0.377,1
106.474,99.637,4.422,0.558,1,0.572,0
243.368,22.84,3.191,0.615,3,0.67,0
430.674,122.238,0.5,0.343,1,0.785,0
307.714,93.84,5.247,0.312,3,-0.295,1
170.671,133.459,7.411,0.53,5,0.16,1
214.164,100.547,3.318,0.755,3,0.417,0
381.552,123.546,5.38,0.519,1,0.649,0
212.356,101.329,1.364,0.446,4,0.641,1
325.975,132.118,5.414,0.487,1,0.542,0
305.469,103.279,3.713,0.559,1,0.209,0
221.808,81.573,2.975,0.579,5,0.247,1
557.273,164.535,2.979,0.99,2,0.211,0
376.07,116.116,3.713,0.861,1,0.106,0
56.983,105.081,5.265,0.855,5,0.101,1
322.375,40.329,1.876,0.884,4,0.073,1
220.586,39.909,3.706,0.45,5,0.501,1
402.292,95.245,4.417,0.406,5,0.437,1
204.898,90.093,2.302,0.429,3,0.122,1
286.232,63.506,8.093,0.917,2,-0.113,1
360.598,89.934,2.793,0.541,2,0.289,0
403.891,140.602,3.161,0.4,4,0.844,0
155.964,109.339,2.543,0.564,5,0.402,1
259.86,45.065,8.097,0.602,4,0.64,1
243.007,81.097,5.606,0.704,4,0.454,1
221.6,56.826,2.627,0.7,2,0.383,0
511.855,71.431,6.712,0.484,2,-0.042,1
348.598,70.523,4.901,0.787,2,0.278,1
148.694,68.282,5.015,0.522,1,0.24,0
410.143,41.07,3.811,0.619,5,0.844,0
554.659,80.532,3.001,0.787,4,0.455,1
423.896,65.379,5.176,0.522,5,0.783,0
117.676,15.0,3.41,0.536,4,0.738,1
241.892,156.854,8.134,0.768,4,0.146,1
452.029,123.107,1.961,0.478,4,0.4,1
215.08,71.829,7.572,0.573,4,0.905,1
353.258,85.659,4.277,0.761,3,0.569,0
392.956,43.992,5.098,0.99,3,0.551,0
188.768,144.35,6.166,0.771,1,0.674,0
292.857,151.405,3.24,0.745,2,0.544,0
10.0,90.484,6.228,0.756,4,0.564,0
177.073,120.824,0.5,0.435,5,0.491,0
269.692,91.135,3.06,0.673,3,0.298,1
150.266,38.215,2.652,0.644,2,0.083,0
495.889,70.586,1.993,0.714,1,-0.157,1
128.383,89.617,4.07,0.673,2,0.301,0
247.195,69.091,5.271,0.726,4,0.531,1
315.689,77.347,5.905,0.588,2,0.472,1
472.953,81.801,4.982,0.662,4,0.591,1
127.697,82.169,3.169,0.404,3,0.362,1
439.58,86.829,5.238,0.586,3,1.0,0
301.228,47.879,4.749,0.928,4,1.0,0
182.219,59.904,6.372,0.714,5,-0.055,1
355.452,40.04,6.054,0.646,3,0.597,0
323.887,119.224,4.561,0.99,5,0.691,0
227.974,15.0,2.705,0.378,4,-0.237,1
308.376,125.376,3.194,0.428,4,0.45,0
253.762,133.522,3.4,0.99,3,0.555,0
313.622,74.424,3.869,0.659,5,0.398,1
379.456,15.0,5.036,0.601,4,0.516,1
490.322,72.354,5.93,0.41,3,0.424,1
151.462,82.754,4.398,0.74,4,0.611,0
555.964,49.629,4.532,0.759,2,0.865,0
65.749,66.967,4.787,0.431,2,0.631,0
281.786,138.557,3.468,0.622,3,0.753,0
370.598,108.272,2.649,0.583,4,0.083,1
333.719,52.64,0.989,0.701,3,1.0,0
225.276,29.084,3.11,0.426,1,0.494,0
275.025,73.554,5.446,0.9,3,0.283,1
240.84,77.529,3.094,0.833,3,0.525,0
229.276,102.367,4.024,0.577,2,0.237,1
401.952,66.264,5.433,0.607,2,0.441,1
342.842,102.902,5.541,0.623,4,0.49,1
216.851,152.73,2.341,0.494,3,0.194,0
407.952,113.543,6.494,0.561,3,0.447,1
336.876,83.317,6.755,0.596,4,0.19,1
397.543,78.59,2.24,0.973,5,0.188,1
375.555,72.516,2.852,0.839,4,0.097,1
200.521,126.322,6.882,0.837,2,0.288,0
232.778,63.044,4.206,0.724,2,0.235,1
389.675,86.583,0.5,0.427,3,0.542,0
373.244,86.792,1.701,0.642,2,0.729,0
297.492,67.438,4.001,0.844,4,0.599,0
314.079,36.964,2.174,0.398,3,0.692,0
453.32,96.304,3.673,0.777,4,0.666,0
229.011,82.865,4.565,0.99,4,0.122,1
365.652,102.508,7.425,0.862,3,0.3,1
275.737,66.324,3.919,0.933,5,0.934,0
273.878,127.729,6.645,0.694,2,0.237,0
431.853,54.313,7.358,0.844,1,0.956,0
399.05,144.921,7.369,0.506,1,0.275,1
397.621,23.833,5.07,0.809,1,-0.214,0
456.657,100.217,0.573,0.781,2,0.326,0
302.52,101.64,5.422,0.708,5,0.654,1
381.834,57.156,6.597,0.913,4,0.899,1
262.768,99.854,4.338,0.542,3,-0.043,1
338.9,129.783,7.989,0.613,5,0.648,1
284.383,15.0,6.22,0.669,1,0.668,0
311.64,102.596,5.637,0.444,2,0.79,0
371.419,15.0,6.673,0.695,2,-0.401,1
201.814,51.202,5.167,0.306,3,0.897,0
551.086,142.021,0.5,0.859,4,0.532,0
179.278,64.638,3.502,0.659,5,0.538,0
154.297,43.914,6.894,0.546,5,0.712,1
438.973,78.072,2.885,0.483,5,-0.201,1
395.0,157.377,4.053,0.603,4,0.704,1
374.894,20.891,2.41,0.788,4,1.0,0
375.401,48.204,8.068,0.76,4,-0.011,1
298.53,137.41,7.863,0.509,3,0.381,1
192.329,150.02,2.732,0.481,2,0.411,0
309.097,81.38,4.795,0.781,1,0.507,0
218.741,41.633,3.139,0.506,4,0.528,1
417.014,158.355,5.73,0.662,2,0.199,0
282.353,140.805,5.519,0.675,4,0.412,1
200.94,108.763,6.123,0.712,1,0.923,0
261.434,56.566,5.164,0.822,4,0.522,1
349.552,83.284,10.371,0.397,2,0.51,1
232.353,79.387,2.444,0.268,3,0.186,1
201.334,96.58,1.079,0.537,1,0.802,0
329.242,135.785,3.714,0.99,2,0.335,0
329.396,115.78,1.364,0.99,5,-0.215,1
239.167,47.292,1.515,0.99,5,0.526,0
243.475,133.177,2.497,0.611,5,0.612,0
327.846,95.96,2.656,0.294,3,0.31,0
126.23,109.047,2.591,0.181,4,-0.27,1
131.104,136.329,5.536,0.527,4,0.065,1
213.787,46.095,3.488,0.61,4,0.365,1
274.386,83.746,4.141,0.91,3,0.283,0
337.309,66.399,6.288,0.824,5,0.533,1
477.043,30.125,2.967,0.695,4,0.578,1
402.919,97.135,3.971,0.472,3,0.269,1
280.807,172.904,5.232,0.458,3,-0.02,1
297.718,20.597,0.617,0.701,2,0.836,0
179.696,83.87,0.5,0.789,4,0.568,0
297.778,107.419,5.192,0.728,5,0.601,1
265.361,89.308,5.484,0.443,1,0.515,0
338.726,81.041,8.628,0.78,3,0.729,1
200.732,39.527,4.816,0.735,2,0.286,1
362.322,93.148,6.139,0.436,1,0.648,0
483.929,58.513,4.109,0.493,3,0.601,0
286.949,15.0,5.094,0.788,2,0.591,0
348.205,126.811,7.835,0.603,4,0.042,1
382.817,118.544,0.5,0.968,2,0.442,0
251.854,86.808,5.327,0.75,3,0.516,0
326.891,93.018,8.771,0.553,4,0.934,1
301.511,122.601,5.064,0.648,5,0.43,1
311.721,92.852,7.801,0.663,2,0.725,0
207.239,116.641,3.242,0.504,1,-0.046,0
302.941,74.588,4.436,0.467,4,0.185,1
359.76,130.919,4.567,0.79,4,0.532,0
474.137,96.228,0.5,0.819,5,0.529,0
415.112,91.792,2.164,0.771,2,0.185,0
558.382,40.548,2.306,0.953,1,0.687,0
207.918,95.043,6.144,0.542,5,0.35,1
404.678,55.882,6.244,0.985,2,0.343,1
322.001,62.66,5.148,0.47,1,0.376,0
562.776,56.462,6.148,0.447,1,0.802,0
203.004,47.682,4.172,0.298,3,0.727,1
199.233,159.367,6.904,0.561,1,0.965,0
228.073,131.597,4.518,0.549,2,0.565,0
45.133,152.213,4.616,0.755,5,0.979,0
236.909,42.199,3.969,0.699,5,0.471,1
208.904,87.494,5.869,0.411,3,0.362,1
318.047,39.727,3.658,0.571,2,0.269,1
341.011,60.651,6.453,0.576,1,0.347,1
525.141,52.866,2.236,0.295,3,0.362,1
414.051,128.385,2.302,0.454,4,0.194,1
230.772,71.132,5.875,0.496,2,0.223,1
192.19,122.393,4.323,0.937,3,0.582,1
359.03,106.144,3.592,0.688,5,0.254,1
141.572,165.627,6.28,0.782,3,-0.11,1
519.775,33.219,3.285,0.35,4,-0.125,1
441.533,129.073,4.1,0.889,2,-0.229,1
243.699,125.125,7.298,0.91,3,-0.025,1
94.424,50.932,7.578,0.25,1,0.04,1
462.465,120.25,7.645,0.509,2,0.108,1
286.255,96.765,3.936,0.749,3,0.486,0
448.538,77.038,6.961,0.779,3,0.018,1
108.669,56.162,2.602,0.514,2,0.124,1
228.075,59.831,2.686,0.589,5,-0.15,1
300.629,156.743,0.5,0.531,1,0.202,0
305.638,85.024,7.846,0.672,2,0.617,0
245.992,112.375,2.772,0.889,1,0.393,0
374.742,57.319,4.247,0.496,1,0.425,0
171.886,57.705,2.679,0.85,2,0.399,0
282.914,122.869,5.89,0.494,3,0.015,1
314.435,37.765,3.749,0.48,5,0.277,1
361.733,70.468,1.89,0.814,1,0.466,0
385.394,86.191,5.383,0.834,1,0.691,0
165.043,88.898,1.633,0.82,3,0.509,0
115.906,78.732,2.825,0.387,2,0.664,0
453.321,98.854,0.5,0.557,5,0.074,1
339.878,109.25,1.652,0.815,1,-0.051,0
210.182,110.712,4.857,0.658,1,-0.126,1
486.138,50.497,0.571,0.435,2,0.645,0
313.881,75.055,1.538,0.742,3,-0.032,1
441.516,126.817,4.495,0.507,4,0.719,0
308.102,116.313,3.413,0.99,3,0.266,0
547.29,36.95,8.484,0.959,1,0.901,0
510.641,97.302,8.168,0.771,1,0.265,0
270.124,15.762,2.764,0.922,5,0.282,1
416.589,86.643,5.614,0.663,3,0.42,1
377.445,151.422,5.999,0.803,4,0.276,1
464.236,51.824,3.305,0.946,5,0.525,1
184.209,55.799,1.509,0.699,4,0.087,0
382.326,111.741,4.475,0.599,5,0.456,0
427.011,31.002,4.154,0.309,3,0.175,1
88.951,62.854,3.628,0.633,1,0.338,0
158.009,105.875,5.385,0.815,4,-0.013,1
55.292,62.8,2.999,0.839,3,0.662,0
267.671,76.741,2.196,0.751,4,0.293,1
386.105,111.046,4.718,0.542,3,0.675,0
480.283,99.754,5.272,0.255,5,0.179,1
308.891,94.339,2.147,0.551,3,0.397,0
495.434,73.131,6.356,0.589,5,0.678,1
134.388,97.952,0.959,0.587,1,0.047,0
95.594,80.669,3.344,0.774,5,0.135,1
293.334,101.023,3.984,0.99,2,0.643,0
346.088,67.607,3.228,0.675,1,0.804,0
296.077,78.61,3.37,0.607,3,0.405,0
51.907,50.351,8.242,0.598,3,0.109,1
289.306,83.775,2.798,0.675,2,0.305,0
143.464,56.615,9.382,0.484,3,0.991,1
380.361,46.008,5.374,0.674,1,-0.0,1
343.992,94.053,4.684,0.74,1,0.558,0
187.214,92.446,5.452,0.692,5,0.438,1
238.336,112.401,9.56,0.742,4,0.053,1
172.894,69.911,2.513,0.737,3,0.306,0
292.479,99.282,2.259,0.296,2,-0.141,1
414.617,104.278,2.99,0.777,1,0.486,0
181.713,100.567,4.564,0.516,1,0.53,0
360.486,56.102,1.048,0.431,1,-0.01,0
236.369,90.228,4.545,0.429,4,0.567,1
204.855,97.745,7.887,0.737,4,0.2,1
287.156,85.251,4.803,0.605,3,0.173,1
175.771,15.0,3.915,0.314,2,0.107,1
233.562,90.617,3.264,0.746,4,0.598,0
156.255,162.439,6.297,0.362,5,-0.102,1
535.767,72.399,2.848,0.678,4,-0.077,1
304.232,59.517,8.193,0.698,1,0.222,0
216.033,98.067,8.367,0.827,2,0.233,1
325.678,95.933,5.014,0.99,3,0.588,0
286.521,126.746,4.477,0.377,4,0.373,1
273.484,40.975,6.561,0.64,1,0.373,1
373.7,110.598,6.69,0.595,5,-0.086,1
390.901,105.665,2.888,0.737,5,0.331,0
236.34,80.025,3.447,0.693,3,-0.322,1
230.902,96.854,1.855,0.579,3,0.471,0
266.994,121.031,5.318,0.562,4,0.603,1
23.769,115.531,5.833,0.427,3,0.166,1
118.177,44.994,1.8,0.848,1,0.513,0
464.025,113.706,3.59,0.742,1,0.268,0
497.396,82.736,1.805,0.834,1,0.77,0
270.116,87.551,2.702,0.588,4,0.468,0
369.187,87.562,5.602,0.519,4,0.088,1
337.35,79.741,3.033,0.434,3,0.751,0
669.466,126.71,3.898,0.722,4,0.648,1
434.349,82.07,1.245,0.442,1,0.276,1
284.65,45.816,4.874,0.99,2,0.549,0
185.335,71.226,4.411,0.388,1,0.544,0
107.226,91.254,3.042,0.705,2,0.272,0
324.416,128.023,4.122,0.963,3,0.42,0
209.238,106.108,4.861,0.77,5,0.473,1
129.33,55.231,2.87,0.685,4,0.197,1
222.411,171.982,1.547,0.456,4,0.804,0
170.214,94.267,8.111,0.374,1,-0.193,1
502.457,129.639,3.233,0.804,1,0.603,0
405.797,79.69,4.306,0.951,2,0.034,0
299.043,103.668,6.522,0.562,4,0.327,1
477.593,114.381,11.558,0.422,3,-0.079,1
309.284,127.637,2.011,0.158,1,0.004,0
196.646,122.008,5.4,0.454,4,0.374,1
482.775,115.527,3.085,0.627,5,0.422,1
364.669,73.972,3.422,0.97,2,0.718,0
175.53,64.989,3.06,0.785,1,0.28,0
277.159,96.641,2.249,0.711,1,0.585,0
194.926,117.659,4.417,0.57,3,0.397,1
134.064,77.205,1.551,0.533,1,0.573,0
411.141,122.281,6.394,0.931,4,0.072,1
529.13,135.842,4.61,0.69,4,0.427,1
132.172,52.929,5.345,0.229,4,0.512,1
367.556,55.708,3.568,0.515,5,0.251,1
221.923,80.087,3.766,0.478,5,0.514,1
241.545,95.766,5.075,0.541,1,0.543,0
228.913,66.64,2.172,0.763,5,0.245,1
196.321,132.327,3.784,0.629,5,0.633,0
305.823,99.842,2.781,0.635,3,-0.291,1
200.286,86.381,2.719,0.913,5,-0.175,1
332.455,34.743,0.5,0.511,2,0.09,1
293.971,38.946,7.179,0.99,2,0.484,0
271.326,94.835,3.127,0.516,2,0.174,0
191.092,15.0,6.827,0.668,1,-0.001,1
230.787,120.442,6.638,0.594,4,0.373,1
390.647,79.465,1.928,0.675,3,0.43,0
360.11,198.508,2.323,0.739,1,0.209,0
182.693,165.777,9.621,0.737,4,0.045,1
311.92,78.649,8.002,0.499,3,0.402,1
390.166,81.278,4.437,0.425,3,0.638,0
99.671,119.845,5.015,0.99,3,0.036,0
365.203,144.611,3.238,0.553,2,0.874,0
220.485,27.669,5.365,0.79,2,0.23,1
368.472,22.477,3.066,0.328,2,0.209,1
208.409,63.229,0.5,0.594,3,0.44,0
83.414,105.396,1.857,0.625,3,0.431,0
104.695,102.391,4.542,0.745,2,-0.27,1
305.77,122.442,2.238,0.106,3,0.368,1
331.167,43.011,4.365,0.683,2,0.573,0
191.482,15.0,2.351,0.42,2,0.708,0
376.631,115.03,2.935,0.715,2,0.365,0
100.618,56.013,6.206,0.443,4,0.293,1
292.07,15.0,4.995,0.479,3,0.617,1
154.678,90.077,4.481,0.595,1,0.938,0
221.78,112.761,6.258,0.44,2,0.428,1
305.688,80.728,5.461,0.555,1,0.345,0
196.75,68.975,7.393,0.411,4,0.777,1
253.853,79.422,3.58,0.283,3,0.061,1
420.755,72.03,3.641,0.854,2,0.419,0
230.773,37.818,1.898,0.391,2,1.0,0
400.283,59.986,3.642,0.614,2,0.536,0
164.435,103.245,6.43,0.801,1,0.63,0
363.577,96.259,7.1,0.527,4,0.301,1
472.988,90.882,6.421,0.485,3,0.576,1
10.0,50.17,0.912,0.695,4,0.765,0
204.373,78.647,6.666,0.874,2,-0.054,1
369.249,15.0,0.823,0.416,4,0.371,1
275.635,91.247,6.296,0.62,1,0.505,0
344.538,135.01,3.764,0.304,5,0.383,1
227.522,33.405,5.905,0.571,5,0.254,1
310.391,64.493,1.835,0.657,3,0.819,0
281.319,96.519,6.842,0.479,3,0.461,1
440.134,128.849,1.57,0.559,4,0.19,1
330.531,69.312,3.163,0.368,3,0.695,0
340.512,60.771,2.504,0.665,1,0.817,0
250.575,16.088,0.991,0.861,2,0.742,0
241.487,88.62,4.689,0.431,2,0.275,0
248.093,156.473,8.112,0.525,4,0.288,1
347.334,94.708,9.834,0.751,2,0.088,1
249.482,84.22,4.694,0.892,4,0.476,0
334.773,96.273,6.733,0.351,3,0.73,1
549.048,84.612,4.964,0.616,3,0.569,0
404.535,56.544,5.498,0.707,1,0.926,0
260.877,113.815,3.816,0.63,2,-0.182,1
444.146,92.902,4.89,0.155,1,0.442,1
251.031,85.616,5.575,0.75,5,0.649,0
55.425,50.862,3.343,0.954,1,0.217,0
179.03,130.623,4.345,0.673,4,0.061,1
75.505,108.265,4.383,0.444,4,0.038,0
257.818,65.648,6.153,0.547,1,0.431,0
302.21,120.064,2.368,0.99,3,0.03,0
501.172,67.585,4.397,0.832,5,0.842,0
339.231,57.63,8.324,0.778,1,0.554,0
273.708,58.41,6.828,0.721,3,0.34,1
399.529,23.013,7.198,0.518,1,0.376,1
34.664,101.504,4.549,0.61,2,0.725,0
